dep_ct,arr_ct,loc,hour
1005,1018,175 N Harvard St,
49,69,175 N Harvard St,0
31,53,175 N Harvard St,1
61,15,175 N Harvard St,2
27,16,175 N Harvard St,3
7,5,175 N Harvard St,4
17,12,175 N Harvard St,5
40,58,175 N Harvard St,6
208,160,175 N Harvard St,7
309,218,175 N Harvard St,8
197,216,175 N Harvard St,9
312,350,175 N Harvard St,10
401,366,175 N Harvard St,11
433,380,175 N Harvard St,12
440,376,175 N Harvard St,13
397,442,175 N Harvard St,14
374,539,175 N Harvard St,15
464,644,175 N Harvard St,16
542,797,175 N Harvard St,17
679,674,175 N Harvard St,18
600,507,175 N Harvard St,19
451,320,175 N Harvard St,20
168,156,175 N Harvard St,21
109,110,175 N Harvard St,22
78,95,175 N Harvard St,23
35,42,18 Dorrance Warehouse,
1,28,18 Dorrance Warehouse,5
1,10,18 Dorrance Warehouse,9
1,11,18 Dorrance Warehouse,10
11,13,18 Dorrance Warehouse,11
13,18,18 Dorrance Warehouse,12
3,44,18 Dorrance Warehouse,13
8,19,18 Dorrance Warehouse,14
3,18,18 Dorrance Warehouse,16
4,15,18 Dorrance Warehouse,17
2,26,18 Dorrance Warehouse,19
480,484,191 Beacon St,
19,28,191 Beacon St,0
11,15,191 Beacon St,1
8,6,191 Beacon St,2
2,1,191 Beacon St,3
7,,191 Beacon St,4
8,3,191 Beacon St,5
55,10,191 Beacon St,6
156,33,191 Beacon St,7
125,98,191 Beacon St,8
135,58,191 Beacon St,9
149,76,191 Beacon St,10
126,93,191 Beacon St,11
127,96,191 Beacon St,12
138,138,191 Beacon St,13
132,149,191 Beacon St,14
174,143,191 Beacon St,15
160,196,191 Beacon St,16
176,226,191 Beacon St,17
236,230,191 Beacon St,18
176,259,191 Beacon St,19
79,220,191 Beacon St,20
70,109,191 Beacon St,21
55,63,191 Beacon St,22
40,41,191 Beacon St,23
614,615,30 Dane St,
14,11,30 Dane St,0
8,5,30 Dane St,1
1,3,30 Dane St,2
2,1,30 Dane St,3
1,2,30 Dane St,4
1,1,30 Dane St,5
9,12,30 Dane St,6
58,49,30 Dane St,7
129,160,30 Dane St,8
82,108,30 Dane St,9
89,104,30 Dane St,10
97,144,30 Dane St,11
113,128,30 Dane St,12
126,111,30 Dane St,13
115,142,30 Dane St,14
128,140,30 Dane St,15
142,172,30 Dane St,16
240,190,30 Dane St,17
245,238,30 Dane St,18
231,154,30 Dane St,19
134,88,30 Dane St,20
68,77,30 Dane St,21
104,46,30 Dane St,22
24,27,30 Dane St,23
1060,976,359 Broadway - Broadway at Fayette Street,
42,60,359 Broadway - Broadway at Fayette Street,0
19,39,359 Broadway - Broadway at Fayette Street,1
7,16,359 Broadway - Broadway at Fayette Street,2
6,5,359 Broadway - Broadway at Fayette Street,3
21,14,359 Broadway - Broadway at Fayette Street,4
63,19,359 Broadway - Broadway at Fayette Street,5
229,52,359 Broadway - Broadway at Fayette Street,6
292,87,359 Broadway - Broadway at Fayette Street,7
442,250,359 Broadway - Broadway at Fayette Street,8
392,171,359 Broadway - Broadway at Fayette Street,9
366,233,359 Broadway - Broadway at Fayette Street,10
367,255,359 Broadway - Broadway at Fayette Street,11
411,310,359 Broadway - Broadway at Fayette Street,12
336,305,359 Broadway - Broadway at Fayette Street,13
324,287,359 Broadway - Broadway at Fayette Street,14
286,348,359 Broadway - Broadway at Fayette Street,15
375,399,359 Broadway - Broadway at Fayette Street,16
531,580,359 Broadway - Broadway at Fayette Street,17
484,680,359 Broadway - Broadway at Fayette Street,18
371,592,359 Broadway - Broadway at Fayette Street,19
179,368,359 Broadway - Broadway at Fayette Street,20
113,295,359 Broadway - Broadway at Fayette Street,21
77,200,359 Broadway - Broadway at Fayette Street,22
56,108,359 Broadway - Broadway at Fayette Street,23
292,299,699 Mt Auburn St,
11,15,699 Mt Auburn St,0
13,18,699 Mt Auburn St,1
9,11,699 Mt Auburn St,2
3,3,699 Mt Auburn St,3
5,2,699 Mt Auburn St,4
35,31,699 Mt Auburn St,5
22,37,699 Mt Auburn St,6
56,43,699 Mt Auburn St,7
88,49,699 Mt Auburn St,8
90,51,699 Mt Auburn St,9
67,95,699 Mt Auburn St,10
124,118,699 Mt Auburn St,11
126,123,699 Mt Auburn St,12
127,131,699 Mt Auburn St,13
176,136,699 Mt Auburn St,14
147,167,699 Mt Auburn St,15
167,174,699 Mt Auburn St,16
170,208,699 Mt Auburn St,17
202,207,699 Mt Auburn St,18
128,157,699 Mt Auburn St,19
73,108,699 Mt Auburn St,20
32,68,699 Mt Auburn St,21
13,37,699 Mt Auburn St,22
14,31,699 Mt Auburn St,23
3,6,7 Acre Park,0
2,,7 Acre Park,2
3,,7 Acre Park,4
3,3,7 Acre Park,5
37,7,7 Acre Park,6
12,9,7 Acre Park,7
25,22,7 Acre Park,8
40,40,7 Acre Park,9
34,37,7 Acre Park,10
48,39,7 Acre Park,11
38,37,7 Acre Park,12
54,60,7 Acre Park,13
60,64,7 Acre Park,14
62,67,7 Acre Park,15
55,80,7 Acre Park,16
83,99,7 Acre Park,17
124,133,7 Acre Park,18
101,106,7 Acre Park,19
55,58,7 Acre Park,20
15,15,7 Acre Park,21
15,15,7 Acre Park,22
6,8,7 Acre Park,23
730,759,700 Commonwealth Ave.,
89,67,700 Commonwealth Ave.,0
52,50,700 Commonwealth Ave.,1
41,34,700 Commonwealth Ave.,2
8,5,700 Commonwealth Ave.,3
1,7,700 Commonwealth Ave.,4
4,27,700 Commonwealth Ave.,5
6,66,700 Commonwealth Ave.,6
28,118,700 Commonwealth Ave.,7
56,273,700 Commonwealth Ave.,8
80,237,700 Commonwealth Ave.,9
153,174,700 Commonwealth Ave.,10
175,168,700 Commonwealth Ave.,11
